timestamp,symbol,price_usd,vol_24h,chg_24h
16-12-2025 21:43,ada,$0.39,"$631,655,192.00",1.94%
16-12-2025 21:43,link,$12.93,"$640,080,753.00",2.95%
16-12-2025 21:43,zec,$404.58,"$792,631,224.00",0.00%
16-12-2025 21:43,sui,$1.51,"$838,648,981.00",4.76%
16-12-2025 21:43,doge,$0.13,"$1,125,478,220.00",3.60%
16-12-2025 21:43,bsc-usd,$1.00,"$1,414,610,918.00",-0.04%
16-12-2025 21:43,bnb,$871.61,"$1,861,822,928.00",2.98%
16-12-2025 21:43,xrp,$1.93,"$3,463,180,880.00",2.51%
16-12-2025 21:43,eth,"$2,950.01","$27,645,337,567.00",1.30%
16-12-2025 21:43,sol,$127.82,"$4,949,381,789.00",2.90%
16-12-2025 21:43,btc,"$87,857.00","$52,700,010,603.00",2.48%
16-12-2025 21:43,usdt,$1.00,"$81,732,541,686.00",-0.02%
16-12-2025 21:43,usdc,$1.00,"$12,389,565,532.00",0.01%
16-12-2025 20:58,usds,$1.00,"$4,052,828.00",0.00%
16-12-2025 20:58,leo,$9.04,"$608,645.00",-2.12%
16-12-2025 20:58,figr_heloc,$1.03,"$29,375,090.00",0.32%
16-12-2025 20:58,wbeth,"$3,172.55","$12,312,514.00",-0.58%
16-12-2025 20:58,weeth,"$3,168.41","$17,691,661.00",-0.42%
16-12-2025 20:58,cro,$0.10,"$23,393,451.00",-2.40%
16-12-2025 20:58,susde,$1.21,"$23,843,592.00",-0.01%
16-12-2025 20:58,m,$1.63,"$14,612,249.00",-6.49%
16-12-2025 20:58,rain,$0.01,"$21,833,218.00",1.86%
16-12-2025 20:58,cc,$0.07,"$15,957,126.00",0.55%
16-12-2025 20:58,steth,"$2,923.23","$44,737,719.00",-0.40%
16-12-2025 20:58,wsteth,"$3,571.78","$60,718,883.00",-0.42%
16-12-2025 20:58,weth,"$2,924.52","$58,917,661.00",-0.43%
16-12-2025 20:58,susds,$1.08,"$50,412,116.00",0.33%
16-12-2025 20:58,ton,$1.55,"$65,369,279.00",5.34%
16-12-2025 20:58,wbt,$57.81,"$73,955,287.00",0.21%
16-12-2025 20:58,wlfi,$0.13,"$81,880,333.00",2.46%
16-12-2025 20:58,usde,$1.00,"$96,879,737.00",0.10%
16-12-2025 20:58,hbar,$0.11,"$106,534,336.00",1.43%
16-12-2025 20:58,pyusd,$1.00,"$91,673,227.00",-0.01%
16-12-2025 20:58,xlm,$0.22,"$127,705,850.00",1.42%
16-12-2025 20:58,shib,$0.00,"$116,232,785.00",0.93%
16-12-2025 20:58,dai,$1.00,"$132,070,082.00",0.01%
16-12-2025 20:58,xmr,$427.62,"$172,127,942.00",4.92%
16-12-2025 20:58,mnt,$1.26,"$174,680,137.00",-0.02%
16-12-2025 20:58,dot,$1.90,"$193,969,211.00",2.11%
16-12-2025 20:58,wbtc,"$86,974.00","$242,772,607.00",1.63%
16-12-2025 20:58,usdt0,$1.00,"$280,387,953.00",-0.02%
16-12-2025 20:58,uni,$5.16,"$303,009,258.00",2.41%
16-12-2025 20:58,bch,$545.82,"$326,886,453.00",3.71%
16-12-2025 20:58,hype,$26.47,"$349,113,898.00",-3.13%
16-12-2025 20:58,aave,$185.67,"$381,215,554.00",2.88%
16-12-2025 20:58,avax,$12.18,"$393,298,402.00",-1.09%
16-12-2025 20:58,usd1,$1.00,"$458,771,574.00",-0.03%
16-12-2025 20:58,cbbtc,"$87,200.00","$471,713,499.00",1.60%
16-12-2025 20:58,ltc,$78.87,"$514,378,677.00",2.84%
16-12-2025 20:58,ada,$0.38,"$604,724,077.00",0.98%
16-12-2025 20:58,trx,$0.28,"$611,834,628.00",0.48%
16-12-2025 20:58,link,$12.82,"$653,082,330.00",1.51%
16-12-2025 20:58,sui,$1.50,"$855,488,404.00",2.56%
16-12-2025 20:58,zec,$404.67,"$971,572,757.00",-1.54%
16-12-2025 20:58,doge,$0.13,"$1,152,266,405.00",2.37%
16-12-2025 20:58,bsc-usd,$1.00,"$1,627,698,797.00",-0.04%
16-12-2025 20:58,bnb,$867.42,"$1,884,989,082.00",2.69%
16-12-2025 20:58,xrp,$1.92,"$3,434,353,474.00",1.21%
16-12-2025 20:58,eth,"$2,922.47","$27,170,227,896.00",-0.41%
16-12-2025 20:58,sol,$127.36,"$5,000,080,514.00",1.83%
16-12-2025 20:58,btc,"$87,162.00","$53,599,782,704.00",1.61%
16-12-2025 20:58,usdt,$1.00,"$83,264,612,619.00",-0.02%
16-12-2025 20:58,usdc,$1.00,"$12,583,860,664.00",0.02%
16-12-2025 20:41,usds,$1.00,"$3,590,044.00",0.01%
16-12-2025 20:41,leo,$9.04,"$616,176.00",-2.02%
16-12-2025 20:41,figr_heloc,$1.03,"$12,393,222.00",1.86%
16-12-2025 20:41,wbeth,"$3,180.85","$12,392,428.00",-0.95%
16-12-2025 20:41,weeth,"$3,176.09","$17,739,585.00",-0.78%
16-12-2025 20:41,cro,$0.10,"$25,180,410.00",-2.60%
16-12-2025 20:41,susde,$1.21,"$24,008,159.00",0.05%
16-12-2025 20:41,m,$1.61,"$14,558,227.00",-8.19%
16-12-2025 20:41,rain,$0.01,"$21,906,738.00",1.74%
16-12-2025 20:41,cc,$0.07,"$16,009,095.00",0.34%
16-12-2025 20:41,steth,"$2,932.49","$49,369,059.00",-0.80%
16-12-2025 20:41,wsteth,"$3,582.39","$66,514,952.00",-0.98%
16-12-2025 20:41,susds,$1.08,"$50,404,902.00",0.31%
16-12-2025 20:41,wbt,$57.96,"$74,723,585.00",0.13%
16-12-2025 20:41,wlfi,$0.13,"$86,243,688.00",2.36%
16-12-2025 20:41,usde,$1.00,"$100,546,707.00",-0.04%
16-12-2025 20:41,pyusd,$1.00,"$92,885,357.00",-0.05%
16-12-2025 20:41,xlm,$0.22,"$128,225,684.00",1.49%
16-12-2025 20:41,hbar,$0.11,"$114,705,700.00",1.22%
16-12-2025 20:41,shib,$0.00,"$116,922,632.00",0.95%
16-12-2025 20:41,ton,$1.56,"$120,803,328.00",5.08%
16-12-2025 20:41,weth,"$2,933.21","$144,694,412.00",-0.48%
16-12-2025 20:41,dai,$1.00,"$131,800,131.00",0.01%
16-12-2025 20:41,xmr,$428.99,"$171,191,228.00",4.69%
16-12-2025 20:41,mnt,$1.26,"$177,177,128.00",-0.48%
16-12-2025 20:41,dot,$1.90,"$196,929,984.00",2.28%
16-12-2025 20:41,wbtc,"$87,184.00","$262,394,179.00",2.11%
16-12-2025 20:41,uni,$5.18,"$304,618,805.00",2.63%
16-12-2025 20:41,usdt0,$1.00,"$319,640,623.00",-0.02%
16-12-2025 20:41,bch,$546.71,"$339,842,466.00",3.67%
16-12-2025 20:41,hype,$26.45,"$348,583,786.00",-3.51%
16-12-2025 20:41,aave,$186.12,"$388,623,083.00",2.38%
16-12-2025 20:41,avax,$12.24,"$410,140,169.00",-0.97%
16-12-2025 20:41,usd1,$1.00,"$456,756,442.00",-0.03%
16-12-2025 20:41,cbbtc,"$87,377.00","$498,618,237.00",1.73%
16-12-2025 20:41,ltc,$78.95,"$502,341,534.00",2.83%
16-12-2025 20:41,trx,$0.28,"$629,522,465.00",0.42%
16-12-2025 20:41,ada,$0.39,"$632,517,316.00",1.37%
16-12-2025 20:41,link,$12.90,"$658,952,939.00",1.85%
16-12-2025 20:41,sui,$1.51,"$893,563,910.00",3.21%
16-12-2025 20:41,zec,$405.37,"$942,357,814.00",-2.15%
16-12-2025 20:41,doge,$0.13,"$1,209,975,911.00",2.00%
16-12-2025 20:41,bsc-usd,$1.00,"$1,592,623,526.00",-0.06%
16-12-2025 20:41,bnb,$868.66,"$1,863,485,719.00",2.69%
16-12-2025 20:41,xrp,$1.92,"$3,557,467,478.00",1.27%
16-12-2025 20:41,eth,"$2,931.25","$27,453,660,381.00",-0.72%
16-12-2025 20:41,sol,$127.43,"$5,133,207,889.00",1.52%
16-12-2025 20:41,btc,"$87,275.00","$50,762,006,926.00",1.77%
16-12-2025 20:41,usdt,$1.00,"$83,972,579,654.00",-0.02%
16-12-2025 20:41,usdc,$1.00,"$12,745,344,110.00",0.00%
16-12-2025 20:02,usds,$1.00,"$5,703,044.00",0.00%
16-12-2025 20:02,leo,$9.05,"$623,941.00",-2.01%
16-12-2025 20:02,figr_heloc,$1.03,"$14,206,319.00",1.90%
16-12-2025 20:02,wbeth,"$3,188.28","$12,486,812.00",-1.50%
16-12-2025 20:02,weeth,"$3,183.50","$18,519,345.00",-1.66%
16-12-2025 20:02,cro,$0.10,"$28,125,659.00",-1.42%
16-12-2025 20:02,susde,$1.21,"$27,795,928.00",-0.10%
16-12-2025 20:02,m,$1.63,"$11,307,662.00",-7.08%
16-12-2025 20:02,cc,$0.07,"$16,093,043.00",2.54%
16-12-2025 20:02,rain,$0.01,"$21,995,071.00",0.92%
16-12-2025 20:02,steth,"$2,938.42","$50,197,488.00",-1.53%
16-12-2025 20:02,susds,$1.08,"$50,290,701.00",-0.25%
16-12-2025 20:02,wsteth,"$3,589.85","$66,894,431.00",-1.61%
16-12-2025 20:02,weth,"$2,937.75","$53,936,847.00",-1.52%
16-12-2025 20:02,wbt,$58.12,"$74,806,980.00",0.08%
16-12-2025 20:02,wlfi,$0.13,"$85,154,087.00",2.42%
16-12-2025 20:02,usde,$1.00,"$104,292,601.00",-0.02%
16-12-2025 20:02,hbar,$0.11,"$109,017,791.00",1.64%
16-12-2025 20:02,pyusd,$1.00,"$93,963,407.00",0.00%
16-12-2025 20:02,ton,$1.56,"$104,175,594.00",5.87%
16-12-2025 20:02,shib,$0.00,"$117,096,358.00",0.84%
16-12-2025 20:02,dai,$1.00,"$129,278,018.00",-0.05%
16-12-2025 20:02,xlm,$0.22,"$139,146,649.00",1.20%
16-12-2025 20:02,xmr,$427.08,"$170,835,393.00",3.08%
16-12-2025 20:02,mnt,$1.26,"$189,014,566.00",1.37%
16-12-2025 20:02,dot,$1.91,"$182,752,956.00",2.09%
16-12-2025 20:02,usdt0,$1.00,"$253,320,934.00",-0.03%
16-12-2025 20:02,wbtc,"$87,368.00","$275,930,627.00",1.57%
16-12-2025 20:02,uni,$5.19,"$308,393,069.00",2.92%
16-12-2025 20:02,bch,$545.85,"$338,127,352.00",2.79%
16-12-2025 20:02,hype,$26.81,"$353,829,712.00",-3.28%
16-12-2025 20:02,aave,$187.33,"$388,588,824.00",2.38%
16-12-2025 20:02,avax,$12.30,"$402,654,835.00",-1.02%
16-12-2025 20:02,usd1,$1.00,"$464,140,393.00",-0.03%
16-12-2025 20:02,cbbtc,"$87,546.00","$509,735,544.00",1.48%
16-12-2025 20:02,ltc,$79.02,"$506,708,739.00",2.41%
16-12-2025 20:02,trx,$0.28,"$623,750,132.00",0.41%
16-12-2025 20:02,ada,$0.39,"$628,775,969.00",1.30%
16-12-2025 20:02,link,$12.96,"$656,576,876.00",1.71%
16-12-2025 20:02,sui,$1.51,"$843,743,857.00",2.61%
16-12-2025 20:02,zec,$407.26,"$976,234,701.00",-1.32%
16-12-2025 20:02,doge,$0.13,"$1,209,891,617.00",1.57%
16-12-2025 20:02,bsc-usd,$1.00,"$1,646,664,171.00",0.02%
16-12-2025 20:02,bnb,$870.91,"$1,919,192,388.00",2.23%
16-12-2025 20:02,xrp,$1.93,"$3,651,064,782.00",0.83%
16-12-2025 20:02,eth,"$2,937.39","$27,919,446,945.00",-1.68%
16-12-2025 20:02,sol,$128.33,"$5,199,866,480.00",1.50%
16-12-2025 20:02,btc,"$87,583.00","$54,967,151,164.00",1.40%
16-12-2025 20:02,usdt,$1.00,"$85,302,888,648.00",-0.01%
16-12-2025 20:02,usdc,$1.00,"$12,937,650,777.00",0.02%
16-12-2025 19:36,usds,$1.00,"$7,142,525.00",-0.03%
16-12-2025 19:36,leo,$9.04,"$617,717.00",-2.72%
16-12-2025 19:36,figr_heloc,$1.03,"$12,393,222.00",1.86%
16-12-2025 19:36,wbeth,"$3,196.62","$15,654,939.00",-1.67%
16-12-2025 19:36,weeth,"$3,190.48","$17,885,283.00",-2.07%
16-12-2025 19:36,m,$1.64,"$14,862,686.00",-6.06%
16-12-2025 19:36,cc,$0.07,"$16,198,251.00",3.94%
16-12-2025 19:36,rain,$0.01,"$22,035,768.00",0.72%
16-12-2025 19:36,steth,"$2,945.00","$51,311,523.00",-1.75%
16-12-2025 19:36,susds,$1.07,"$50,154,236.00",-1.05%
16-12-2025 19:36,cro,$0.10,"$33,131,326.00",1.80%
16-12-2025 19:36,susde,$1.21,"$36,283,509.00",-0.05%
16-12-2025 19:36,wsteth,"$3,598.07","$66,292,500.00",-1.74%
16-12-2025 19:36,wbt,$58.22,"$75,563,733.00",-0.29%
16-12-2025 19:36,pyusd,$1.00,"$94,051,961.00",-0.01%
16-12-2025 19:36,wlfi,$0.14,"$91,609,530.00",0.78%
16-12-2025 19:36,usde,$1.00,"$104,557,158.00",0.00%
16-12-2025 19:36,hbar,$0.12,"$125,726,052.00",0.98%
16-12-2025 19:36,shib,$0.00,"$129,356,811.00",0.56%
16-12-2025 19:36,dai,$1.00,"$126,471,281.00",0.02%
16-12-2025 19:36,ton,$1.56,"$123,749,984.00",4.40%
16-12-2025 19:36,xlm,$0.22,"$141,670,525.00",0.32%
16-12-2025 19:36,xmr,$426.42,"$172,239,355.00",3.27%
16-12-2025 19:36,mnt,$1.26,"$193,753,544.00",1.33%
16-12-2025 19:36,weth,"$2,944.32","$207,008,991.00",-2.22%
16-12-2025 19:36,dot,$1.91,"$210,979,179.00",1.84%
16-12-2025 19:36,wbtc,"$87,593.00","$285,728,193.00",1.33%
16-12-2025 19:36,uni,$5.20,"$312,265,466.00",2.48%
16-12-2025 19:36,usdt0,$1.00,"$341,870,793.00",0.00%
16-12-2025 19:36,hype,$27.12,"$361,520,460.00",-2.91%
16-12-2025 19:36,bch,$546.70,"$369,562,269.00",1.14%
16-12-2025 19:36,aave,$188.29,"$397,955,015.00",2.39%
16-12-2025 19:36,avax,$12.31,"$420,196,390.00",-1.58%
16-12-2025 19:36,usd1,$1.00,"$467,545,836.00",-0.02%
16-12-2025 19:36,cbbtc,"$87,813.00","$516,215,076.00",1.03%
16-12-2025 19:36,ltc,$79.06,"$547,479,977.00",1.68%
16-12-2025 19:36,trx,$0.28,"$668,232,337.00",0.17%
16-12-2025 19:36,ada,$0.39,"$682,807,123.00",0.55%
16-12-2025 19:36,link,$12.95,"$682,669,714.00",1.39%
